Vaccine,Location,year,MMR
MMR,Arizona,2025,88.6
MMR,United States,2025,92.5
MMR,Arizona,2024,89.3
MMR,United States,2024,92.7
MMR,United States,2023,93.1
MMR,Arizona,2023,89.9
MMR,United States,2022,93
MMR,Arizona,2022,90.6
MMR,United States,2021,93.9
MMR,Arizona,2021,91.9
MMR,United States,2020,95.2
MMR,Arizona,2020,92.8
MMR,United States,2019,94.7
MMR,Arizona,2019,92.9
MMR,United States,2018,95
MMR,Arizona,2018,93.4
MMR,United States,2017,95
MMR,Arizona,2017,94
MMR,United States,2016,94.7
MMR,Arizona,2016,94.2
MMR,United States,2015,94
MMR,Arizona,2015,94.2
MMR,United States,2014,94
MMR,Arizona,2014,93.9
MMR,United States,2013,94.1
MMR,Arizona,2013,94.5
MMR,United States,2012,94.7
MMR,Arizona,2012,94.7
