Geography,year,Estimate (%)
Oregon,2025,90.5
District of Columbia,2025,92.7
Kentucky,2025,86.9
New Mexico,2025,94.8
Pennsylvania,2025,92.4
New York,2025,97.8
Utah,2025,88.6
Minnesota,2025,86.5
Alaska,2025,81.2
Missouri,2025,90
Nevada,2025,91.3
Wyoming,2025,93.6
Idaho,2025,78.5
Vermont,2025,93.5
Michigan,2025,91.6
Maryland,2025,96.4
Louisiana,2025,92.6
Hawaii,2025,89.9
Tennessee,2025,94.4
Florida,2025,88.8
Indiana,2025,90.8
Kansas,2025,91
Washington,2025,90.9
North Dakota,2025,90
Illinois,2025,91.8
Colorado,2025,88
South Carolina,2025,91.2
California,2025,96.1
Delaware,2025,94.1
Texas,2025,93.2
Oklahoma,2025,88.7
NY-City of New York,2025,97.1
Arizona,2025,88.6
Wisconsin,2025,84.8
Rhode Island,2025,96.7
Maine,2025,97.6
Connecticut,2025,98.2
Virginia,2025,95.6
Ohio,2025,88.3
Georgia,2025,86.8
Iowa,2025,88.8
South Dakota,2025,90
Nebraska,2025,94.2
New Hampshire,2025,89.2
Alabama,2025,95.2
Arkansas,2025,89.6
Mississippi,2025,97.6
New Jersey,2025,92.8
Massachusetts,2025,96.6
North Carolina,2025,94.2
